Position	Programming Language	Ratings
21	Classic Visual Basic	0.86%
22	Prolog	0.83%
23	SAS	0.76%
24	Ruby	0.75%
25	Kotlin	0.74%
26	Swift	0.67%
27	Scala	0.67%
28	Lisp	0.55%
29	(Visual) FoxPro	0.51%
30	Dart	0.46%
31	Julia	0.46%
32	Haskell	0.44%
33	Objective-C	0.39%
34	VBScript	0.37%
35	Lua	0.36%
36	TypeScript	0.27%
37	ABAP	0.27%
38	GAMS	0.25%
39	PL/SQL	0.22%
40	Solidity	0.20%
41	Logo	0.19%
42	PowerShell	0.18%
43	V	0.17%
44	Bash	0.16%
45	Elixir	0.15%
46	ML	0.15%
47	X++	0.14%
48	Awk	0.14%
49	D	0.13%
50	Zig	0.13%
